0.36 -0.919931 0.000190485 0.116625 0.000331134 4.08088 0.0561295 6.77767 0.155778 2.86789 0.0464948 
0.3625 -0.930658 0.000195565 0.119449 0.000352865 4.15723 0.056363 7.07221 0.150319 2.85052 0.0482382 
0.365 -0.941566 0.000197936 0.123635 0.000390097 4.22366 0.0593999 7.5427 0.17664 2.83882 0.0432477 
0.3675 -0.951538 0.00020299 0.12705 0.000412437 4.27999 0.0648292 7.96827 0.210476 2.83341 0.0482913 
0.37 -0.962439 0.000209864 0.131238 0.000441695 4.35941 0.0667384 8.49896 0.231227 2.84287 0.0512021 
0.3725 -0.973383 0.000210505 0.135692 0.000451057 4.41884 0.0652394 8.99964 0.226575 2.80042 0.0485147 
0.375 -0.984614 0.000217121 0.140448 0.000496897 4.49831 0.0728273 9.59058 0.256863 2.78453 0.0460614 
0.3775 -0.995731 0.000223006 0.146182 0.000535614 4.57358 0.0632433 10.2796 0.259281 2.75727 0.0465995 
0.38 -1.00732 0.000226272 0.150627 0.000577538 4.62199 0.0725888 10.9507 0.296163 2.75063 0.0477657 
0.3825 -1.01903 0.000227537 0.156554 0.00061032 4.68853 0.0697182 11.6792 0.319327 2.71749 0.048212 
0.385 -1.03102 0.000240655 0.162619 0.000649441 4.7997 0.0734235 12.4684 0.345379 2.68641 0.0459149 
0.3875 -1.04324 0.000255902 0.1685 0.000706156 4.93564 0.0705393 13.4688 0.411335 2.69069 0.0524907 
0.39 -1.0556 0.000268344 0.177196 0.000798651 5.04965 0.0814907 14.628 0.479868 2.63764 0.0503153 
0.3925 -1.06787 0.000273221 0.18437 0.000834735 5.14306 0.0823977 15.6658 0.509276 2.6127 0.0535854 
0.395 -1.08112 0.000294599 0.193885 0.000898078 5.2676 0.0871277 16.9938 0.496443 2.55083 0.0469217 
0.3975 -1.09454 0.000297795 0.203927 0.000996319 5.39147 0.0995112 18.5481 0.520682 2.51842 0.0504634 
0.4 -1.10826 0.000327113 0.216242 0.00110106 5.6044 0.0983699 20.3466 0.630443 2.45392 0.0510356 
0.4025 -1.12256 0.000349147 0.22868 0.00119355 5.75491 0.113937 22.0927 0.620211 2.38152 0.0490751 
0.405 -1.13686 0.000376093 0.239646 0.0012973 5.96642 0.108068 24.0791 0.72129 2.3565 0.0500463 
0.4075 -1.15281 0.000419701 0.2573 0.00148317 6.27121 0.134985 26.7407 0.785375 2.26572 0.0500669 
0.41 -1.16854 0.000464568 0.274974 0.00161844 6.51712 0.132702 28.8876 0.813194 2.1775 0.046118 
0.4125 -1.1865 0.000510607 0.297604 0.00177306 6.93778 0.15695 32.0077 0.807599 2.08286 0.0510868 
0.415 -1.20323 0.000536422 0.317243 0.00185812 7.17259 0.180284 33.9881 0.839708 1.99659 0.0494912 
0.4175 -1.22239 0.000594079 0.34385 0.00203069 7.59625 0.174585 36.462 0.916771 1.88455 0.0475208 
0.42 -1.24129 0.000655615 0.368331 0.00221473 8.14736 0.181456 39.9213 0.840441 1.81481 0.0508513 
0.4225 -1.26187 0.00074135 0.400483 0.00238803 8.6273 0.19682 41.6464 0.988329 1.70409 0.0447916 
0.425 -1.28426 0.000797912 0.434522 0.00252538 9.03147 0.187049 42.7922 1.1672 1.6001 0.0411157 
0.4275 -1.30593 0.000829074 0.467424 0.0025656 9.4209 0.191943 43.0467 1.43093 1.51433 0.0335385 
0.43 -1.33289 0.000903278 0.510859 0.00268455 9.79458 0.201588 42.75 2.18023 1.41571 0.0342673 
0.4325 -1.35738 0.000880481 0.549332 0.00255585 9.83253 0.196616 39.941 2.09563 1.33458 0.0274486 
0.435 -1.38028 0.000895794 0.581523 0.00253265 9.82666 0.205882 37.6331 2.58446 1.28103 0.0268475 
0.4375 -1.40637 0.000881743 0.62164 0.00235673 9.6674 0.23233 32.6679 2.71202 1.21715 0.0220683 
0.44 -1.4275 0.000865334 0.647188 0.00227374 9.57345 0.24497 30.4635 2.80152 1.18584 0.0188387 
0.4425 -1.45295 0.000821359 0.683042 0.00206552 9.07543 0.299008 25.1083 3.1763 1.13965 0.0167726 
0.445 -1.47532 0.000750812 0.712189 0.00175525 8.51006 0.279671 19.5068 2.78372 1.10618 0.012281 
0.4475 -1.4957 0.000684587 0.734985 0.00158553 8.00088 0.271152 16.1723 2.38471 1.08463 0.0104166 
0.45 -1.51483 0.000665952 0.753332 0.00151352 7.73141 0.292764 14.5681 2.71516 1.07179 0.00955987 
0.4525 -1.53305 0.000575457 0.773123 0.00119158 7.09414 0.262631 10.7718 1.88216 1.05449 0.00678223 
0.455 -1.54956 0.000536792 0.787038 0.00109106 6.70486 0.226089 9.3692 1.83996 1.04607 0.00619517 
0.4575 -1.56621 0.000470856 0.802021 0.000914064 6.28324 0.213454 7.37493 1.64639 1.03664 0.00481288 
0.46 -1.58255 0.000416287 0.816031 0.000707116 5.85579 0.192603 5.4846 1.15199 1.02842 0.00383376 
0.4625 -1.59632 0.000382483 0.826133 0.000604824 5.56797 0.146549 4.70508 0.813521 1.02431 0.00262817 
0.465 -1.60951 0.000358143 0.835407 0.000529232 5.27726 0.144517 3.97407 0.826983 1.02057 0.00267525 
0.4675 -1.62303 0.000330206 0.84479 0.000472293 5.00536 0.136993 3.35287 0.707529 1.01723 0.00184294 
0.47 -1.63454 0.000306976 0.851668 0.000441314 4.78334 0.10687 3.04821 0.681476 1.01547 0.00168355 
0.4725 -1.64643 0.000270642 0.859698 0.000288076 4.51199 0.0795021 2.29634 0.184836 1.01246 0.000836363 
