0.36 -0.92058 0.178785 0.0100379 0.0168793 2.71286 
0.3625 -0.93183 0.18288 0.011354 0.0181512 2.70054 
0.365 -0.94585 0.195545 0.0117139 0.0199595 2.61208 
0.3675 -0.94956 0.19606 0.0102178 0.018786 2.57952 
0.37 -0.96266 0.202495 0.0111473 0.0202858 2.51639 
0.3725 -0.97665 0.21112 0.0117679 0.0230273 2.56245 
0.375 -0.99053 0.228575 0.0113108 0.0250163 2.42964 
0.3775 -0.99425 0.202675 0.0124066 0.0233563 2.77085 
0.38 -1.00964 0.23577 0.0134487 0.0270623 2.42918 
0.3825 -1.02163 0.251715 0.0119472 0.0266565 2.19297 
0.385 -1.03742 0.24562 0.0122595 0.0288229 2.36388 
0.3875 -1.04004 0.242785 0.0126488 0.0293905 2.453 
0.39 -1.05796 0.26788 0.013621 0.0331623 2.27312 
0.3925 -1.07716 0.281955 0.0137179 0.0343391 2.26287 
0.395 -1.0856 0.269495 0.0135462 0.0366168 2.38795 
0.3975 -1.10399 0.310595 0.0149986 0.0388729 2.12535 
0.4 -1.11433 0.30424 0.0154848 0.0387799 2.14478 
0.4025 -1.12268 0.298265 0.0143812 0.039044 2.23769 
0.405 -1.15153 0.373025 0.0168338 0.0409088 1.74458 
0.4075 -1.17452 0.386575 0.0168352 0.046226 1.74946 
0.41 -1.16143 0.34322 0.0175697 0.0487384 2.06428 
0.4125 -1.20563 0.419365 0.019542 0.051033 1.71228 
0.415 -1.22576 0.431585 0.0202968 0.0561906 1.69031 
0.4175 -1.25076 0.476555 0.0205304 0.0517653 1.55242 
0.42 -1.27757 0.511525 0.0231874 0.0510938 1.46538 
0.4225 -1.25313 0.444635 0.0194567 0.0561266 1.68369 
0.425 -1.30365 0.531435 0.021224 0.0465995 1.41317 
0.4275 -1.31498 0.51835 0.0208142 0.0618291 1.49742 
0.43 -1.36216 0.611305 0.0227269 0.0483016 1.27434 
0.4325 -1.36115 0.59521 0.0216512 0.0453359 1.31243 
0.435 -1.40999 0.67029 0.0204113 0.0336248 1.17468 
0.4375 -1.42173 0.671715 0.0212705 0.0354452 1.18899 
0.44 -1.41741 0.6619 0.0206638 0.0380865 1.19604 
0.4425 -1.47166 0.715075 0.0186632 0.0378815 1.14531 
0.445 -1.49278 0.75207 0.0182731 0.0170745 1.09144 
0.4475 -1.51568 0.76205 0.0199253 0.0265705 1.09873 
0.45 -1.52354 0.780335 0.0164497 0.0161638 1.06796 
0.4525 -1.53058 0.77255 0.0181159 0.0235524 1.08945 
0.455 -1.5414 0.77363 0.0181428 0.0248033 1.09295 
0.4575 -1.52382 0.732355 0.020882 0.0408559 1.16679 
0.46 -1.58795 0.82848 0.0134611 0.00659439 1.03326 
0.4625 -1.59159 0.823245 0.0122006 0.00780469 1.03863 
0.465 -1.61601 0.844065 0.0118918 0.005854 1.02779 
0.4675 -1.62996 0.85246 0.0115154 0.00608565 1.02658 
0.47 -1.63545 0.85461 0.0113388 0.0050241 1.0241 
0.4725 -1.63764 0.850135 0.0115462 0.00911101 1.03318 
0.475 -1.65878 0.86522 0.0110685 0.0065285 1.02553 
0.4775 -1.65785 0.8636 0.0107321 0.00530384 1.02424 
0.48 -1.68086 0.87827 0.00880646 0.00388816 1.01729 
0.4825 -1.6895 0.885825 0.00835775 0.00259694 1.01222 
0.485 -1.69537 0.88477 0.0106669 0.00548435 1.02062 
0.4875 -1.70346 0.893535 0.00803643 0.00220963 1.01031 
0.49 -1.71488 0.897625 0.00831159 0.00217483 1.01011 
0.4925 -1.72005 0.899135 0.0079037 0.00252723 1.01115 
0.495 -1.73009 0.9064 0.00718969 0.00168354 1.00773 
0.4975 -1.73893 0.90781 0.00784196 0.00211655 1.0095 
0.5 -1.73955 0.90847 0.0072959 0.00224931 1.00955 
0.5025 -1.75182 0.91472 0.00745729 0.00204732 1.00867 
0.505 -1.75553 0.915335 0.00681092 0.00159711 1.00721 
0.5075 -1.77071 0.92253 0.00649 0.00144485 1.00633 
0.51 -1.78129 0.927875 0.00569264 0.00105621 1.00474 
