1 0.987918 0.987918
2 0.986302 1.97422
3 0.984686 2.95891
4 0.983075 3.94198
5 0.981467 4.92345
6 0.979859 5.90331
7 0.978252 6.88156
8 0.976648 7.85821
9 0.975047 8.83326
10 0.97345 9.80671
11 0.971854 10.7786
12 0.970263 11.7488
13 0.968674 12.7175
14 0.967089 13.6846
15 0.965506 14.6501
16 0.963926 15.614
17 0.96235 16.5764
18 0.960773 17.5371
19 0.959199 18.4963
20 0.957627 19.454
21 0.956059 20.41
22 0.954494 21.3645
23 0.952932 22.3175
24 0.95137 23.2688
25 0.94981 24.2186
26 0.948254 25.1669
27 0.946699 26.1136
28 0.94515 27.0587
29 0.943605 28.0023
30 0.942064 28.9444
31 0.940523 29.8849
32 0.938986 30.8239
33 0.937451 31.7614
34 0.935918 32.6973
35 0.934387 33.6317
36 0.932859 34.5645
37 0.931335 35.4959
38 0.929812 36.4257
39 0.92829 37.354
40 0.926772 38.2807
41 0.925256 39.206
42 0.923744 40.1297
43 0.922237 41.052
44 0.920732 41.9727
45 0.91923 42.8919
46 0.917734 43.8097
47 0.916238 44.7259
48 0.914743 45.6407
49 0.913249 46.5539
50 0.911759 47.4657
51 0.910269 48.3759
52 0.908784 49.2847
53 0.907297 50.192
54 0.905813 51.0978
55 0.904335 52.0022
56 0.902858 52.905
57 0.901384 53.8064
58 0.899913 54.7063
59 0.898446 55.6048
60 0.896983 56.5017
61 0.895524 57.3973
62 0.894069 58.2913
63 0.892616 59.184
64 0.891165 60.0751
65 0.889716 60.9648
66 0.88827 61.8531
67 0.886827 62.7399
68 0.885388 63.6253
69 0.883951 64.5093
70 0.882516 65.3918
71 0.881086 66.2729
72 0.879657 67.1525
73 0.878229 68.0308
74 0.876806 68.9076
75 0.875386 69.7829
76 0.873968 70.6569
77 0.872554 71.5295
78 0.871144 72.4006
79 0.869737 73.2704
80 0.868331 74.1387
81 0.866927 75.0056
82 0.865523 75.8711
83 0.864123 76.7353
84 0.862726 77.598
85 0.861331 78.4593
86 0.859937 79.3192
87 0.858548 80.1778
88 0.857162 81.035
89 0.855778 81.8907
90 0.854398 82.7451
91 0.853022 83.5982
92 0.851648 84.4498
93 0.850275 85.3001
94 0.848904 86.149
95 0.847538 86.9965
96 0.846176 87.8427
97 0.844817 88.6875
98 0.843465 89.531
99 0.842115 90.3731
100 0.840767 91.2139
101 0.839422 92.0533
102 0.83808 92.8914
103 0.836741 93.7281
104 0.835403 94.5635
105 0.83407 95.3976
106 0.832737 96.2303
107 0.831407 97.0617
108 0.830079 97.8918
109 0.828752 98.7206
110 0.827427 99.548
111 0.826107 100.374
112 0.824787 101.199
113 0.823468 102.022
114 0.822153 102.844
115 0.820839 103.665
116 0.819527 104.485
117 0.81822 105.303
118 0.816916 106.12
119 0.815612 106.936
120 0.814311 107.75
121 0.813012 108.563
122 0.811714 109.375
123 0.810418 110.185
124 0.809123 110.994
125 0.80783 111.802
126 0.806538 112.609
127 0.80525 113.414
128 0.803965 114.218
129 0.802685 115.02
130 0.801407 115.822
131 0.800128 116.622
132 0.798847 117.421
133 0.797567 118.218
134 0.796289 119.015
135 0.795012 119.81
136 0.793739 120.603
137 0.792469 121.396
138 0.7912 122.187
139 0.789931 122.977
140 0.788664 123.766
141 0.7874 124.553
142 0.786134 125.339
143 0.784871 126.124
144 0.783612 126.908
145 0.782354 127.69
146 0.781097 128.471
147 0.77984 129.251
148 0.778584 130.03
149 0.777333 130.807
150 0.776085 131.583
151 0.774835 132.358
152 0.77359 133.131
153 0.772344 133.904
154 0.7711 134.675
155 0.769858 135.445
156 0.768618 136.213
157 0.767381 136.981
158 0.766148 137.747
159 0.764919 138.512
160 0.763694 139.276
161 0.76247 140.038
162 0.761246 140.799
163 0.760024 141.559
164 0.758805 142.318
165 0.757591 143.076
166 0.756378 143.832
167 0.755168 144.587
168 0.753958 145.341
169 0.752752 146.094
170 0.751546 146.845
171 0.75034 147.596
172 0.749137 148.345
173 0.747936 149.093
174 0.746736 149.84
175 0.745536 150.585
176 0.744339 151.329
177 0.743145 152.073
178 0.741956 152.815
179 0.740771 153.555
180 0.739589 154.295
181 0.738409 155.033
182 0.737231 155.771
183 0.736058 156.507
184 0.734886 157.242
185 0.733718 157.975
186 0.732553 158.708
187 0.731389 159.439
188 0.730226 160.169
189 0.729064 160.898
190 0.727903 161.626
191 0.726744 162.353
192 0.725589 163.079
193 0.724438 163.803
194 0.723289 164.526
195 0.722147 165.249
196 0.721007 165.97
197 0.719868 166.689
198 0.718733 167.408
199 0.7176 168.126
200 0.716468 168.842
201 0.715338 169.558
202 0.71421 170.272
203 0.713085 170.985
204 0.71196 171.697
205 0.710838 172.408
206 0.709714 173.117
207 0.708592 173.826
208 0.70747 174.533
209 0.706351 175.24
210 0.705236 175.945
211 0.704124 176.649
212 0.703013 177.352
213 0.701902 178.054
214 0.700794 178.755
215 0.699691 179.455
216 0.698591 180.153
217 0.697489 180.851
218 0.696389 181.547
219 0.695287 182.242
220 0.694189 182.937
221 0.693092 183.63
222 0.691998 184.322
223 0.690905 185.013
224 0.689812 185.702
225 0.688719 186.391
226 0.687625 187.079
227 0.686534 187.765
228 0.685447 188.451
229 0.684361 189.135
230 0.683278 189.818
231 0.682197 190.5
232 0.681119 191.182
233 0.680044 191.862
234 0.678968 192.541
235 0.67789 193.219
236 0.676814 193.895
237 0.675738 194.571
238 0.674663 195.246
239 0.67359 195.919
240 0.672519 196.592
241 0.671449 197.263
242 0.670378 197.934
243 0.669308 198.603
244 0.668237 199.271
245 0.667168 199.938
